경기번호,경기날짜,팀명,홈_어웨이,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,팀코드,상대팀
1,2017-10-14,IBK기업은행,1,0,89,69,179,51,15,10,143.88,100.0,88,17,9,6,75.5,100.0,17,9,2,2,194.44,100.0,7,2,1,0,58.33,100.0,21,1,2,0,8.33,100.0,7,1,0,1,16.67,100.0,39,21,1,1,215.45,100.0,95,7,10,1.4,100.0,119,102,17,0,20.9,99.99,188,51,3,11.25,99.99,99,40,5,7.0,99.99,94,11,37,30,2,2.25,100.01,8,0,25,3,흥국생명
1,2017-10-14,흥국생명,0,1,127,83,193,63,11,15,135.52,99.98,106,27,7,7,75.88,100.0,9,6,0,0,116.66,100.0,9,2,1,1,40.0,100.0,49,21,2,6,66.50999999999999,100.0,10,3,1,0,61.9,100.0,10,4,0,1,166.66,100.0,109,5,10,1.4,99.99,145,125,20,0,28.09,100.01,195,61,2,12.33,100.0,85,43,7,8.55,100.0,72,15,38,12,0,3.3,100.02,10,0,27,1,IBK기업은행
2,2017-10-15,KGC인삼공사,1,0,94,79,205,67,20,7,345.82,100.01,119,37,14,2,317.04,100.0,4,1,0,0,33.33,100.0,4,1,0,0,25.0,100.0,40,16,2,4,40.0,100.0,6,1,0,0,20.0,100.0,32,11,4,1,208.33,100.01,108,5,4,1.1,99.98,146,118,28,0,24.25,99.98,209,63,1,12.6,100.0,103,49,5,8.85,100.0,78,7,31,22,2,1.4,99.99,5,0,14,4,현대건설
2,2017-10-15,현대건설,0,1,102,102,198,77,7,12,186.93,100.01,92,31,3,6,134.62,100.0,28,9,0,1,186.41,100.0,0,0,0,0,0.0,0.0,33,16,2,3,100.0,100.0,16,9,1,2,119.04,100.0,29,12,1,0,121.12,100.0,116,5,13,1.0,99.99,132,117,15,0,23.4,100.01,207,75,1,15.0,100.01,104,47,5,8.4,100.0,105,20,33,30,3,4.0,100.01,17,0,29,5,KGC인삼공사
3,2017-10-17,GS칼텍스,0,1,138,88,175,72,9,9,303.46000000000004,100.0,71,27,4,3,250.84,100.01,7,3,0,0,175.0,100.0,1,0,0,0,0.0,100.0,19,8,0,2,137.5,100.01,25,12,4,0,169.69,100.0,52,22,1,4,115.56,99.99,109,9,11,1.8,100.01,113,95,16,2,20.3,99.99,180,68,3,14.75,100.01,97,43,7,7.200000000000001,99.99,72,7,28,25,0,1.45,100.0,6,0,25,0,한국도로공사
3,2017-10-17,한국도로공사,1,0,110,82,156,66,7,8,258.71,99.99,92,39,3,3,228.85,100.01,10,4,0,1,92.86,100.0,6,3,0,0,100.0,100.0,5,1,0,2,33.33,100.0,13,9,0,0,140.47,100.0,30,10,4,2,96.84,100.0,108,7,11,1.4,100.0,112,90,22,0,18.0,100.01,162,61,2,12.2,99.98,98,38,9,6.0,99.98,76,9,33,19,1,1.8,100.01,6,0,22,2,GS칼텍스
4,2017-10-18,IBK기업은행,1,0,104,80,178,66,14,6,292.34000000000003,100.0,86,26,8,2,289.16,100.01,13,3,0,1,100.0,99.99,10,4,1,1,57.14,100.0,27,13,3,0,92.15,99.99,8,5,0,1,200.0,100.0,34,15,2,1,145.52,100.0,101,7,8,1.4,99.99,129,109,20,0,23.25,100.0,188,62,5,13.6,99.99,96,51,3,9.6,100.0,67,7,33,18,0,1.4,100.01,7,0,19,3,현대건설
4,2017-10-18,현대건설,0,1,102,86,169,69,7,8,261.12,100.0,68,22,4,5,166.82,100.0,16,6,0,1,127.27,100.0,0,0,0,0,0.0,0.0,30,14,1,0,100.62,100.0,19,13,0,0,144.29000000000002,100.0,36,14,2,2,100.0,100.0,105,3,9,0.6000000000000001,100.01,110,96,13,1,19.3,100.0,177,65,2,13.0,100.0,93,40,7,6.8,100.01,99,14,32,33,1,2.8,99.99,12,0,21,5,IBK기업은행
5,2017-10-21,KGC인삼공사,0,0,78,68,166,55,11,14,187.53,100.01,71,17,6,4,155.51,100.0,8,2,0,2,83.33,100.0,1,0,0,0,0.0,100.0,33,12,3,5,38.71,100.0,18,9,1,0,100.0,100.0,35,15,1,3,157.07,100.0,97,3,5,0.6000000000000001,99.99,102,90,12,0,18.8,100.0,169,51,2,10.33,100.0,94,38,8,6.2,100.0,88,10,30,31,0,2.0,99.99,7,0,21,4,흥국생명
5,2017-10-21,흥국생명,1,1,126,87,173,68,10,12,246.23,99.99,85,29,5,9,177.34,100.0,7,3,1,0,100.0,100.01,10,5,0,0,100.0,100.0,30,16,0,1,125.0,100.0,12,3,2,1,50.0,100.0,29,12,2,1,87.18,100.0,107,8,13,1.73,100.0,113,100,13,0,25.12,99.97,181,66,2,15.73,99.99,92,34,3,6.6000000000000005,99.99,63,11,23,18,1,2.33,100.0,10,0,28,1,KGC인삼공사
